,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
10,10,204 255 204,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,166 202 240,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
11,11,204 255 204,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,166 202 240,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
12,12,204 255 204,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,166 202 240,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
13,13,204 255 204,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,166 202 240,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
14,14,204 255 204,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,166 202 240,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
15,15,204 255 204,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,166 202 240,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
16,16,204 255 204,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,166 202 240,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
17,17,204 255 204,166 202 240,0 0 0,166 202 240,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,166 202 240,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
18,18,204 255 204,166 202 240,0 0 0,166 202 240,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
19,19,204 255 204,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
20,20,204 255 204,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
21,21,204 255 204,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
22,22,204 255 204,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
23,23,204 255 204,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,0 0 0,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,166 202 240,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/5/2015
0,0,204 255 204,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
1,1,204 255 204,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
2,2,204 255 204,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
3,3,204 255 204,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
4,4,204 255 204,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
5,5,204 255 204,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
6,6,204 255 204,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
7,7,204 255 204,0 0 0,0 0 0,166 202 240,166 202 240,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
8,8,204 255 204,0 0 0,0 0 0,166 202 240,166 202 240,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
9,9,204 255 204,0 0 0,0 0 0,166 202 240,166 202 240,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
10,10,204 255 204,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
11,11,204 255 204,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
12,12,204 255 204,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
13,13,204 255 204,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
14,14,204 255 204,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
15,15,204 255 204,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
16,16,204 255 204,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
17,17,204 255 204,0 0 0,0 0 0,166 202 240,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
18,18,204 255 204,0 0 0,0 0 0,166 202 240,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
19,19,204 255 204,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
20,20,204 255 204,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,204 153 204,204 153 204,204 255 204,0 0 0,0 0 0,255 255 153,255 255 153,255 255 153,166 202 240,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,204 255 204,204 255 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,2/5/2015
